Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
Mettelhorn,europe,switzerland,walk up,11174,3406,46.055633,7.741606,geneva,
Meulfire,north america,united states,scramble,7930,2417,48.536159,-120.858493,seattle,1966
Middle Palisade,north america,united states,scramble,14040,4279,37.0667,-118.467,los angeles,1922
Middle Sister,north america,canada,scramble,9085,2769,51.021854,-115.341167,calgary international,1921
Middle Teton,north america,united states,technical climb,12804,3903,43.73,-110.811,"jackson, wyoming",1923
Midzor,europe,serbia and montenegro,walk up,7116,2169,43.393935,22.682107,"""nikola tesla"" belgrade (major); nish (small)",
Milesovka,europe,czech republic,walk up,2746,837,50.555079,13.931565,prague,
Milestone Mountain,north america,united states,scramble,13641,4158,36.6347,-118.484,fresno,
Millaa Millaa Mountain,australia/oceania,australia,scramble,4501,1372,-17.557191,145.546331,cairns,
Milpocraju,south america,peru,major mountain expedition,17388,5300,-9.377226,-77.384992,lima,1972
Milseburg,europe,germany,walk up,2739,835,50.5,-9.91667,frankfurt,
Mineral Peak,north america,united states,walk up,5255,1602,47.926638,-121.469092,seattle,
Minin bogaz,europe,serbia and montenegro,scramble,7831,2387,43.12448,19.04454,podgorica,
Minya Konka,asia,china,major mountain expedition,24790,7556,29.5667,101.883,"chengdu, china",1932
Misho,asia,iran,walk up,9383,2860,37,46,nan,
Missouri Mountain,north america,united states,walk up,14067,4288,38.9472,-106.378,denver,
Mist Mountain,north america,canada,scramble,10302,3140,50.554398,-114.909697,calgary international,
"Mitchell, Mount",north america,united states,walk up,6684,2037,35.7647,-82.2653,"knoxville, tennessee",1787
Mitre Peak,australia/oceania,new zealand,basic snow/ice climb,5540,1690,-44.632631,167.85618,ivercargill,1911
Mittaghorn,europe,switzerland,technical climb,7657,2334,46.35,7.26667,bern,1905
Mittelhorn,europe,switzerland,nan,12152,3704,46.634881,8.124647,"bern, switzerland",
Mittlerer Burgstall,europe,austria,technical climb,9622,2933,46.6433,12.3312,salzburg,
Mix-up Peak,north america,united states,scramble,7231,2204,48.45414,-121.060195,seattle-tacoma,1947
Mizugaki Yama,asia,japan,walk up,7316,2230,35.8936,138.592,"narita international, kansai international",
Mnich,europe,poland,technical climb,6785,2068,,,krakow (cracow) poland,1879
Mocho-choshuenco,south america,chile,basic snow/ice climb,7923,2415,,,valdivia,1923
Moel Eilio,europe,united kingdom,nan,2592,790,53.09688,-4.15953,manchester,
Moel Hebog,europe,united kingdom,nan,2566,782,53.000278,-4.139722,liverpool,
Moel Siabod,europe,united kingdom,walk up,2861,872,53.074061,-3.934388,liverpool,
Moelfre Isaf,europe,united kingdom,nan,1040,317,53.246389,-3.573611,liverpool,
Mogorrita La,europe,spain,walk up,6122,1866,40.359103,-1.788712,valencia,
Mokolla,asia,pakistan,major mountain expedition,8500,2591,,,islamabad,
Molard,europe,switzerland,walk up,5748,1752,46.484445,6.96026,geneva,
Moldoveanu,europe,romania,scramble,8350,2545,45.59979,24.73619,sibiu,
Mollehoj,europe,denmark,walk up,558,170,55.997189,9.826228,ccopenhagen,2005
"Monadnock, Mount",north america,united states,walk up,3165,965,42.8611,-72.1083,"manchester, nh",
Monarch Mountain,north america,canada,major mountain expedition,11663,3555,51.899443,-125.876287,williams lake,1936
Moncayo,europe,spain,walk up,7595,2315,41.768239,-1.820297,zaragoza,
Moncucco,europe,italy,nan,1896,1896,46.055,8.138,malpensa,
Monkhead,north america,canada,scramble,10561,3219,52.582296,-117.392006,edmonton or calgary,1950
"Monroe, Mount",north america,united states,scramble,5384,1641,44.2556,-71.3225,"concord, new hampshire",
Monster Tower,north america,united states,technical climb,5835,1779,38.38927,-109.837335,salt lake city,1963
Mont Agou,africa,togo,walk up,3235,986,6.866666,-0.75,lomé,
Mont Albert (nord),north america,canada,walk up,3570,1088,48.929887,-66.163874,jean lesage international québec city,1845
Mont Blanc,europe,france,basic snow/ice climb,15771,4807,45.832866,6.864824,"geneva, switzerland",1786
Mont Blanc de Cheilon,europe,switzerland,basic snow/ice climb,12696,3870,45.99314,7.417185,geneva,1865
Mont Blanc de Courmayeur,europe,italy,basic snow/ice climb,15577,4748,45.828889,6.869444,nan,
Mont Buet,europe,france,walk up,10168,3099,46.024145,6.851349,geneva,
Mont Clapier,europe,france,walk up,9990,3045,44.1333,7.38333,nice cote d'azure (nice),1818
Mont Collins,north america,canada,walk up,3399,1036,48.876094,-66.687867,québec city,
Mont Delà,europe,italy,scramble,10299,3139,45.624018,7.528806,torino,1848
Mont Dolent,europe,france,technical climb,12543,3823,45.922498,7.044468,nan,
Mont Dore,europe,france,walk up,6184,1885,45.5,2.78333,lyon,
Mont Fort,europe,switzerland,scramble,10919,3328,46.080278,7.318889,geneve,
Mont Gele,europe,switzerland,walk up,11542,3518,45.90448,7.366222,milano or geneva,
Mont Gerbier de Jonc,europe,france,scramble,5089,1551,44.8415,4.2226,valence,
Mont Glacier,europe,italy,walk up,10453,3186,45.63134,7.540136,torino,1848
Mont Gosford,north america,canada,walk up,3914,1193,45.301335,-70.867138,aeroport pierre élliot trudeau,
Mont Guillaume,europe,france,walk up,8340,2542,44.5683,6.4239,grenoble,
Mont Iberville,north america,canada,scramble,5420,1652,58.7167,-63.7167,nan,
Mont Jacques Cartier,north america,canada,walk up,4167,1270,48.987655,-65.948393,québec city,
Mont Joly,europe,france,walk up,8284,2525,45.825833,6.692778,geneve,
Mont Joseph Fortin,north america,canada,walk up,3543,1080,48.947283,-66.018259,nan,
Mont Maudit,europe,france,basic snow/ice climb,14649,4465,45.85,6.88333,"geneva, switzerland",1878
Mont Mezenc,europe,france,walk up,5755,1754,44.9,4.18333,lyon,
Mont Mégantic,north america,canada,walk up,3625,1105,45.455736,-71.152525,pierre elliot trudeau,
Mont Pelat,europe,france,scramble,10007,3050,44.265,6.705833,nice,
Mont Pelee,north america,,scramble,4583,1397,14.8,-61.1667,"fort-du-france,",
Mont Pourri,europe,france,basic snow/ice climb,12398,3779,45.528333,6.86,grenoble,1878
Mont Renoso,europe,france,walk up,7680,2341,,,ajjacio,
Mont Richardson,north america,canada,walk up,3871,1180,48.927462,-66.016374,jean lesage international airport (québec city ),
Mont Rogneux,europe,switzerland,walk up,10118,3084,46.009243,7.231493,geneve,
Mont Sainte Victoire,europe,france,walk up,3317,1011,43.539167,5.645278,marseille,
Mont Tauo Blanc,europe,italy,scramble,11279,3438,,,torino,
Mont Thabor,europe,france,walk up,10426,3178,45.1167,6.56667,lyon,
Mont Ventoux,europe,france,walk up,6069,1850,44.0333,5.05,avignon,
Mont Xalibu,north america,canada,walk up,3740,1140,48.964047,-66.011996,jean lesage international,
Mont de Vores,europe,france,walk up,6788,2069,,,annecy,
Mont de l'Arpille,europe,switzerland,walk up,6841,2085,46.07713,7.006492,geneva,
Mont-aux-Sources,africa,south africa,scramble,10768,3282,-28.759081,28.884644,"johannesburg or durban, south africa",1836
Mont-blanc Du Tacul,europe,france,basic snow/ice climb,13937,4248,,,geneve,1805
Montagne des Agneaux,europe,france,basic snow/ice climb,12021,3664,44.95,6.41667,grenoble or lyon (gap being closer yet a minor one),1873
Montana Peak,north america,united states,scramble,6907,2105,61.9,-149,anchorage,
Monte Agner,europe,italy,technical climb,9419,2871,46.2759,11.9534,venice,1921
Monte Amaro,europe,italy,walk up,9163,2793,42.0833,14.0833,roma fiumicino,
Monte Antremoia,europe,italy,scramble,9862,3006,,,nan,
Monte Arido,north america,united states,walk up,6010,1832,,,santa barbara municipal,
Monte Breva - Piz la Stretta,europe,italy,walk up,10184,3104,46.47665,10.04476,"milan, zurich",
Monte Camicia,europe,italy,walk up,8412,2564,42.443221,13.716774,l'aquila preturo airport (liap),1934
Monte Casale,europe,italy,walk up,5354,1632,,,trento,
Monte Cavalmurone,europe,italy,walk up,5577,1700,,,genova,
Monte Cimone,europe,italy,walk up,7103,2165,44.193889,10.701389,nan,
Monte Cinto,europe,france,scramble,8878,2706,42.379683,8.945617,calvi/nice,2002
Monte Confinale,europe,italy,walk up,11056,3370,46.449218,10.504893,"milan, saint moritz",
Monte Cornaccio,europe,italy,basic snow/ice climb,6171,1881,,,pisa,
Monte Cristallo,europe,italy,basic snow/ice climb,10567,3221,46.575221,12.200628,venice marco polo,1865
Monte Cristo,north america,united states,walk up,11132,3393,,,salt lake city,
Monte Cristo Peak,north america,united states,technical climb,7136,2175,47.9713,-121.3418,seattle-tacoma,1923
Monte Darwin,south america,chile,basic snow/ice climb,8163,2488,-54.75,-69.4833,"ushuaia, argentina",1961
Monte Dizgrazia,europe,italy,basic snow/ice climb,12067,3678,46.2667,9.75,"bergamo, italy",1862
Monte Due Mani,europe,italy,walk up,5430,1655,45.898617,9.449212,"milan,bergamo",
Monte Emilius,europe,italy,walk up,11676,3559,45.679081,7.384014,torino,1823
Monte Forato,europe,italy,walk up,3966,1209,44.014182,10.335986,pisa,
Monte Gaggio,europe,switzerland,walk up,7438,2267,,,lugano agno,
Monte Gavia,europe,italy,scramble,10574,3223,46.352761,10.471399,milan,
Monte Gaviola,europe,italy,walk up,9925,3025,46.334147,10.498268,milan,
Monte Generoso,europe,switzerland,walk up,5581,1701,45.93125,9.02,"lugano agno, milano malpensa, milano linate",
Monte Giove,europe,italy,walk up,9872,3009,46.36159,8.3864,nan,
Monte Groppo Rosso,europe,italy,walk up,5240,1597,44.561137,9.467087,genova,
Monte Guglielmo,europe,italy,walk up,6391,1948,45.755278,10.168056,"brescia - montichiari , bergamo - orio al serio",
Monte Legnone,europe,italy,walk up,8560,2609,46.094941,9.414763,nan,
Monte Leone,europe,italy,basic snow/ice climb,11657,3553,46.249722,8.110278,milan malpensa,1859
Monte Madonnino,europe,italy,basic snow/ice climb,8209,2502,46.011667,9.886111,orio al serio,
Monte Mantello,europe,italy,scramble,11539,3517,46.37287,10.56069,milan,
Monte Mario,europe,italy,walk up,456,139,41.925,12.451667,fiumicino,
Monte Marzo,europe,italy,walk up,9042,2756,45.562622,7.610264,torino,1850
Monte Matto,europe,italy,walk up,6027,1837,44.383054,10.04227,"bologna, parma",
Monte Motola,europe,italy,walk up,5715,1742,40.2142,15.2749,nan,
Monte Motto,europe,italy,walk up,8898,2712,46.568,10.128,"milan, saint moritz",
Monte Nerone,europe,italy,walk up,5003,1525,43.557774,12.519156,"ancona, rome, florence",
Monte Niblè,europe,italy,basic snow/ice climb,11040,3365,,,caselle,1873
Monte Perdido,europe,spain,walk up,11007,3355,42.676599,0.032959,"lourdes or toulouse, france, zaragoza or barcelona, spain",1802
Monte Pissis,south america,argentina,walk up,22241,6779,-27.7833,-68.85,"santiago del estero or ,  san juan, argentina",1937
Monte Pollino,europe,italy,walk up,7375,2248,39.894656,16.215955,naples,
Monte Rosa,europe,italy,technical climb,15203,4633,45.937028,7.867623,"geneva, switzerland",1855
Monte Sarmiento,south america,chile,basic snow/ice climb,7546,2300,-54.45,-70.8333,"punta arenas, chile",1956
Monte Scorluzzo,europe,italy,walk up,10154,3095,46.52178,10.44238,innsbruck,
Monte Sobretta,europe,italy,walk up,10814,3296,46.397987,10.437796,"st moritz, milan",
Monte Sodadura,europe,italy,walk up,6594,2010,,,bergamo or milan,
Monte Soratte,europe,italy,walk up,2287,697,42.25,12.5,"fiumicino, rome",
Monte Vago - Al Vach,europe,italy,scramble,10016,3058,46.4404,10.0787,"milan, st. moritz",
Monte Velino,europe,italy,walk up,8159,2487,42.147327,13.381344,roma fiumicino,
Monte Viso,europe,italy,basic snow/ice climb,12602,3841,44.6667,7.08824,"turin, italy",1861
Monte Zeda,europe,italy,nan,7073,2156,,,malpensa(milan),
Monte d'Oro,europe,france,scramble,7710,2350,,,"ajaccio,calvi,bastia",
Monte dei Corni,europe,italy,walk up,9114,2778,45.569953,7.636871,torino,
Montecaoru,europe,spain,walk up,4265,1300,43.268706,-4.86557,asturias,
Montezuma's Chair,north america,united states,technical climb,6689,2039,,,flagstaff,
Montgó,europe,spain,walk up,2470,753,38.806273,0.128059,alicante,
Montsant,europe,spain,walk up,2953,900,41.270582,0.821571,nan,
Montserrat,north america,,technical climb,4052,1235,16.7167,-62.1667,nan,
Monument Hill,north america,united states,walk up,7352,2241,39.0717,-104.515,colorado springs,
Monviso,europe,italy,nan,12625,3848,44.6675,7.091667,nan,
Moolock,north america,united states,walk up,4965,1513,47.547306,-121.641955,seattle,
Moose Peak,north america,united states,scramble,6753,2058,47.88433,-123.365629,seattle-tacoma,
Moose's Tooth,north america,united states,technical climb,10335,3150,62.97,-150.611,anchorage,1975
Moosilaukee,north america,united states,walk up,4802,1464,,,"manchester, nh",1785
"Moran, Mount",north america,united states,basic snow/ice climb,12605,3842,43.8353,-110.776,"jackson, wyoming",1922
Morcheka,europe,ukraine,technical climb,3215,980,,,nan,
"Morgan, Mount (South)",north america,united states,scramble,13748,4190,37.4,-119.25,"reno, nv",
Morne Anglais,north america,dominica,scramble,3683,1123,15.2851,-61.3324,dcf,
Morning Star Peak,north america,united states,scramble,6020,1835,48.00393,-121.490846,seattle-tacoma,
Morra de Lechugales,europe,spain,scramble,8009,2441,43.190112,-4.73478,santander,
Morro Rock,north america,united states,nan,581,177,35.36943,-120.86755,nan,
Morro da Igreja(church hill),south america,brazil,nan,5978,1822,,,porto alegre/florianopolis,
Morrone,europe,united kingdom,scramble,2791,851,56.980724,-3.429966,aberdeen,
Morteratsch,europe,switzerland,basic snow/ice climb,12306,3751,46.404233,9.90347,milano,1858
Moslifjellet,europe,norway,walk up,2356,718,59.003003,6.15303,stavanger,
Mosor - Suva planina,europe,serbia and montenegro,walk up,3228,984,43.1351,22.0523,nish,
"Motart, Mount",europe,germany,scramble,8934,2723,,,nan,1956
Mother Lode,north america,united states,scramble,7905,2409,48.4436,-120.615,seattle,
"Mount Bangeta, Mount Salawaket",australia/oceania,papua new guinea,major mountain expedition,13520,4121,-6.314966,147.088094,port moresby,
Mount Diablotin,north america,dominica,scramble,4747,1447,15.459,-61.3861,mellville hall airport,
Mount Inglismaldie,north america,canada,scramble,9724,2964,51.2417,-115.4217,calgary international airport,
Mount Makra 3885-M,asia,pakistan,walk up,12500,3810,,,muzaffarabad,
Mount kitchener,australia/oceania,new zealand,scramble,6699,2042,,,christchurch,
Mramornaja Stena,asia,kazakhstan,major mountain expedition,20997,6400,42.281881,80.267658,almaty international airport,1953
Mucuñuque,south america,venezuela,scramble,15322,4670,8.756357,-70.802489,mérida,1922
Muhabura,africa,rwanda,walk up,13540,4127,-1.33333,29.6167,kigali,
"Muir, Mount",north america,united states,scramble,14012,4271,36.564743,-118.291253,"reno, nevada; los angeles, california",
Mulamaniya,south america,bolivia,walk up,16437,5010,-16.235083,-68.221279,el alto (bolivia),
Mulanje,africa,malawi,scramble,9852,3003,-15.9667,35.6333,"blantyre, malawi",
Mulhacen,europe,spain,walk up,11424,3482,37.053333,-3.311389,granada,1910
Mummy Mountain,north america,united states,walk up,11530,3514,,,nan,
Mumpu,africa,zambia,nan,6400,1951,-13.2,29.36,nan,
Mun Peak,asia,india,basic snow/ice climb,15256,4650,32.287392,76.390024,gaggal airport,
Munkhu Sardyk,europe,russia,basic snow/ice climb,11453,3491,,,irkutsk or ulaan baatar,
"Murchison, Mount",north america,canada,scramble,10935,3333,51.93347,-116.674805,calgary,1902
"Murray, Mount",north america,canada,walk up,5968,1819,55.4567,-122.6867,prince george international,
"Murud Sarawak, Mount",asia,malaysia,walk up,7950,2423,,,ba kelalan,
Mururata,south america,bolivia,basic snow/ice climb,19242,5865,-16.5,-67.833333,el alto,
Musala,europe,bulgaria,walk up,9596,2925,42.179722,23.586667,sofia,
Mushroom Peak,north america,canada,scramble,10531,3210,52.311942,-117.397327,calgary,1947
Mutspitze,europe,italy,walk up,7526,2294,46.720917,11.097565,"milano, munich",
Muttekopf,europe,austria,walk up,9111,2777,,,innsbruck,
Muttenkopf,europe,austria,walk up,8651,2637,,,innsbruck,
Muztagh Ata,asia,china,major mountain expedition,24758,7546,38.2833,75.1167,"kashi, china",1956
Muztagh Tower,asia,pakistan,major mountain expedition,23860,7273,35.8283,76.3608,"rawalpindi, pakistan",1956
Mweelrea,europe,ireland,walk up,814,248,53.637375,-9.830913,nan,
Mynydd Mawr,europe,united kingdom,walk up,2290,698,53.0667,-4.16667,liverpool,
Mynydd Tal-y- Mignedd,europe,united kingdom,walk up,2142,653,,,lerpwl/liverpool,
Myogi San,asia,japan,scramble,3622,1104,36.3005,138.75,"narita international, kansai international",
Myra I,asia,kyrgyzstan,scramble,16240,4950,39.4333,73,osh,
Myra Ii,asia,kyrgyzstan,scramble,4750,1448,39.4333,73.0333,osh,
Myrhorn,europe,norway,scramble,4751,1448,,,hauk-sen,1970
"Mystery, Mount",north america,united states,basic snow/ice climb,7639,2326,47.795646,-123.221283,seattle-tacoma,
Myticas,europe,greece,scramble,9577,2919,40.083333,22.35,thessaloniki,
Mädelegabel,europe,germany,scramble,8678,2645,47.3,10.295833,"friedrichshafen, memmingen",1818
Mättenberg,europe,switzerland,scramble,10184,3104,46.60856,8.078856,"bern, switzerland",
Mönch,europe,switzerland,basic snow/ice climb,13474,4107,46.55832,7.997205,"bern or zurich, switzerland",1857
Naches Peak,north america,united states,scramble,6452,1967,46.867889,-121.507034,seattle-tacoma,
Nadelhorn,europe,switzerland,basic snow/ice climb,14196,4327,46.10875,7.864167,geneva,
Nairamdal,asia,mongolia,basic snow/ice climb,13507,4117,49.178,87.8235,olgii,
Namchabarva,asia,india,major mountain expedition,25449,7757,,,nan,
Namche Barwa,asia,china,nan,25531,7782,29.6667,95.1667,"lhasa, tibet",1992
Namloser Wetterspitze,europe,austria,walk up,8409,2563,47.323067,10.64155,insbruck,
Nanda Devi,asia,india,major mountain expedition,25645,7817,30.3833,79.9667,"delhi, india",1936
Nanda Ghunti,asia,india,major mountain expedition,20699,6309,30.4666,79.7166,"pantnagar, uttaranchal",1948
Nandakhat,asia,india,major mountain expedition,21690,6611,30.301667,79.975833,nan,1931
Nandakot,asia,india,major mountain expedition,22510,6861,30.2666,80.0666,pant nagar,1905
Nanga Parbat,asia,pakistan,major mountain expedition,26658,8125,35.248668,74.591804,"rawalpindi, pakistan",1953
Nangkartshang Peak,asia,nepal,walk up,16676,5083,27.904,86.8337,lukla,
"Nangtud, Mount",asia,philippines,major mountain expedition,7,2,11.268,122.208,iloilo airport,1990
Nanu Sax,north america,greenland,major mountain expedition,4757,1450,65.992329,-37.342529,kulusuk east - greenland,2008
Naomi Peak,north america,united states,walk up,9986,3044,41.910923,-111.675411,"salt lake city, utah",
Napes Needle,europe,united kingdom,technical climb,2200,671,54.4782,-3.21783,manchester,1886
Naranjo de Bulnes,europe,spain,scramble,8264,2519,43.180271,-4.832096,ranon (asturias),
Narodnaya,europe,russia,walk up,6217,1895,65,60,inta,1929
Narrenkogel,europe,austria,walk up,7575,2309,47.13,10.95,innsbruck,
"Narsing, Mount",asia,india,technical climb,19029,5800,,,calcutta,1920
Nasak,north america,united states,nan,2126,648,68.5731,-165.771,nan,
Natal,north america,united states,scramble,7800,2377,48.53077,-120.86978,seattle,1981
"Nathan, Mount",australia/oceania,new zealand,technical climb,9199,2804,-43.583333,170.283333,mount cook airport,
Nathiagali,asia,pakistan,nan,8205,2501,34.066667,73.383333,islamabad,
Nato (Cerro),south america,argentina,technical climb,9177,2797,-49.297384,-73.120809,buenos aires,1937
Navajo Peak,north america,united states,scramble,13409,4087,40.053507,-105.646515,denver,
Naya Kanga,asia,nepal,major mountain expedition,19180,5846,28.168322,85.548541,kathmandu - thribuvan int'l airport,
"Nazomi, Mount",australia/oceania,new zealand,basic snow/ice climb,9557,2913,,,christchurch,1912
Neamtu,europe,romania,walk up,6309,1923,45.436767,25.691357,nan,
Nebelhorn,europe,germany,walk up,7296,2224,47.421667,10.3425,munich,
"Nebo, Mount",north america,united states,scramble,3407,1038,44.156794,-122.701188,eugene airport,
"Neel Roofthooft, Mt",antarctica,antarctica,scramble,5961,1817,-72.0331,23.1167,nan,
Neelab Hill,asia,pakistan,technical climb,3438,1048,33.719699,72.16198,islamabad international airport,
Negoiu,europe,romania,scramble,8002,2439,45.586944,24.555833,bucuresti,
"Neige Cordier, pic De",europe,france,scramble,11857,3614,44.95,6.38333,grenoble,1877
Nelson Butte,north america,united states,walk up,7160,2182,46.823615,-121.205034,seattle,
Nemertsika,europe,greece,scramble,7211,2198,,,ioannina,
Nero (Monte),europe,italy,technical climb,11227,3422,45.524665,7.358318,torino,1886
Nesthorn,europe,switzerland,technical climb,12539,3822,46.413333,7.925833,nan,
Nestor Peak,north america,united states,walk up,3088,941,45.816837,-121.572218,portland airport,
"Nestor, Mount",north america,canada,technical climb,9744,2970,50.9283,-115.365,calgary international airport,1913
Nevado De Acay,south america,argentina,walk up,19521,5950,-24.3833,-66.1667,salta,
Nevado Jacha Huaracha,south america,bolivia,technical climb,18176,5540,-14.87,-69.122801,la paz,2001
Nevado Lavadero,south america,argentina,walk up,20085,6122,,,san juan,1994
Nevado Parinacota,south america,chile,basic snow/ice climb,20807,6342,-18.163184,-69.142977,"arica, chile",
Nevado Purace,south america,colombia,walk up,15603,4756,2.315197,-76.395193,bogota,
Nevado Solimana,south america,peru,technical climb,19990,6093,-15.41,-72.8936,arequipa,1973
Nevado Veronica,south america,peru,basic snow/ice climb,19100,5822,-13.1772,-72.3847,"cuzco, peru (via lima, peru)",1956
Nevado de Colima,north america,mexico,scramble,14600,4450,19.55,-103.633,"colima national airport, located 15 km north to colima city.",
Nevado de Huila,south america,colombia,basic snow/ice climb,18865,5750,3,-76,"cali, colombia",1944
Nevado de Toluca,north america,mexico,walk up,15197,4632,19.101667,-99.7675,toluca,
Nevado del Cocuy,south america,colombia,basic snow/ice climb,16670,5081,6.5,-72.15,bogota,
Nevado del Ruiz,south america,colombia,basic snow/ice climb,17454,5320,4.88333,-75.3667,"bogota, colombia",1936
Nevado del Tolima,south america,colombia,basic snow/ice climb,17109,5215,4.67,-75.33,bogota/ibague,1928
Nevados De Famatina,south america,argentina,basic snow/ice climb,20505,6250,-29.0333,-67.8167,"la rioja, 90 km from chilecito",
Neveron De Urriellu,europe,spain,walk up,8396,2559,43.178143,-4.832611,asturias,1933
Nevosa,europe,portugal,walk up,5033,1534,41.829282,-8.039932,oporto / porto,
New Morning Peak,north america,united states,scramble,7230,2204,48.5757,-120.8404,seattle-tacoma,1973
New York Peak,north america,united states,walk up,12811,3905,39.086098,-106.692785,denver,
Newberry Volcano,north america,united states,nan,7986,2434,43.68997,-121.25885,portland,
"Newton, Mount (Newtontoppen)",europe,svalbard,basic snow/ice climb,5633,1717,,,lgb,
Nez Perce Peak,north america,united states,technical climb,11901,3627,43.719157,-110.797539,"jackson, wy",1930
Ngadi Chuli,asia,nepal,nan,25823,7871,28.5033,84.5675,"kathmandu, nepal",1970
"Ngauruhoe, Mount",australia/oceania,new zealand,scramble,7516,2291,,,auckland/wellington,
Ngoyumba Kang,asia,,major mountain expedition,25971,7916,28.105903,86.684103,kathmandu,1965
Niajo,europe,spain,scramble,5705,1739,43.136945,-5.073028,asturias,
"Niblock, Mount",north america,canada,scramble,9764,2976,51.417088,-116.272087,"calgary, ab",1899
Niederbauen Chulm,europe,switzerland,walk up,6309,1923,46.9475,8.55667,zürich,
Nigel Peak,north america,canada,scramble,10535,3211,52.239,-117.171,calgary,1919
Nilgiri,asia,nepal,major mountain expedition,23166,7061,28.689528,83.744206,kathmandu,1962
Nilkantha,asia,india,major mountain expedition,21643,6597, ,79.4,"delhi, india",1993
Nipple Peak,north america,united states,scramble,10324,3147,40.8727,-107.043,steamboat/hayden,
Nirekha Peak,asia,nepal,technical climb,20240,6169,,,kathmandu,
Nojinkangsang,asia,china,major mountain expedition,23641,7206,28.9333,90.1667,lhasa - gonggar (3540m),1986
Nona,europe,norway,scramble,3320,1012,68.921001,16.450687,evenes,
Nordend,europe,switzerland,basic snow/ice climb,15121,4609,45.942042,7.870045,geneva,1861
Nordenski Idtoppen,europe,norway,scramble,3442,1049,78,16,longyearbyen airport,
Norman Clyde Peak,north america,united states,scramble,13920,4243,37.075,-118.472,nan,1930
North Arapaho Peak,north america,united states,scramble,13502,4114,40.0266,-105.6505,"denver, co",
North Early Winters Spire,north america,united states,technical climb,7760,2365,48.512909,-120.655417,"seattle, wa",1950
North Gardner Mountain,north america,united states,scramble,8956,2730,48.515229,-120.501667,seattle-tacoma,
North Maroon Peak,north america,united states,scramble,14019,4273,39.076,-106.9871,denver international,
North Pack Monadnock,north america,united states,nan,2276,694,42.886195,-71.865633,"manchester, nh",
North Palisade,north america,united states,basic snow/ice climb,14242,4341,37.0939,-118.522,"oakland, california, reno, nevada",1903
North Peak,north america,united states,walk up,12242,3731,37.9822,-119.314,nan,
North Suicide Peak,north america,united states,basic snow/ice climb,5065,1544,61.029444,-149.574444,anchorage,
North Truchas Peak,north america,united states,walk up,13024,3970,35.9667,-105.617,nan,
North Twin,north america,canada,basic snow/ice climb,12200,3719,52.223961,-117.434664,"edmonton or calgary, alberta",1923
North Twin Mountain,north america,united states,walk up,4761,1451,44.202333,-71.558333,nan,
North Twin Sister,north america,united states,scramble,6640,2024,48.715459,-121.998324,"seattle, wa or vancouver, bc",
Norton Peak,north america,united states,scramble,10336,3150,43.7619,-114.652,hailey,
Noshaq,asia,afghanistan,major mountain expedition,24581,7492,36.4333,71.9,"peshawar, pakistan",1960
Notch Mountain,north america,united states,walk up,13237,4035,39.4775,-106.46,"small airport, leadville",1875
Notch Peak,north america,united states,scramble,9655,2943,39.1433,-113.409,salt lake city,
Nun Kun,asia,india,major mountain expedition,23410,7135,33.98077,76.020584,srinagar or leh,1913
Nuptse,asia,nepal,major mountain expedition,25790,7861,27.968479,86.883273,kathmandu,1961
Nuvolau,europe,italy,walk up,8448,2575,46.495674,12.04545,venezia,
Nässihorn,europe,switzerland,nan,12303,3750,46.594436,8.113189,"bern, switzerland",
O'Leary Peak,north america,united states,walk up,8938,2724,35.4017,-111.526,pulliim,
O'malley Peak,north america,united states,scramble,5150,1570,61.099461,-149.582806,anchorage,
Ober Gabelhorn,europe,switzerland,technical climb,13330,4063,46.038416,7.667642,geneve,
Obergabelhorn,europe,switzerland,technical climb,13330,4063,46.038333,7.667778,geneva,
"Oberlin, Mount",north america,united states,scramble,8180,2493,48.70416,-113.736477,"great falls, mt",
Oberrothorn,europe,switzerland,walk up,11204,3415,46.027678,7.812877,geneva,
Obiou,europe,france,walk up,9186,2800,44.775278,5.839444,grenoble,
Observation Peak,north america,canada,scramble,10413,3174,51.7333,-116.467,calgary,1895
Obstruction Peak,north america,united states,walk up,6450,1966,47.922094,-123.381557,seattle-tacoma,
Ocejon,europe,spain,walk up,6719,2048,41.105226,-3.255386,madrid-barajas,
Ochsenbug,europe,austria,scramble,9869,3008,47.0204,12.283,nan,
Odaray Mountain,north america,canada,scramble,10364,3159,51.358544,-116.381865,calgary,1887
Odell Butte,north america,united states,walk up,7032,2143,43.470651,-121.863889,eugene airport,
Oestliche Knotenspitze,europe,austria,scramble,10174,3101,47.05,11.1667,innsbruck/munich,
Off-Balance Rock,north america,united states,technical climb,5220,1591,38.702096,-109.563407,salt lake city,
Ojos del Salado,south america,chile,walk up,22615,6893,-27.109524,-68.540869,"antofagasta, chile",1937
Ojstrica,europe,slovenia,nan,7710,2350,46.366121,14.639626,ljubljana,
Okuhotaka-dake,asia,japan,walk up,10466,3190,,,"narita (tokyo), kansai (osaka)",
Ol'donyo Lengai,africa,tanzania,scramble,9500,2896,-2.764444,35.916111,kilimanjaro,
Olallie Butte,north america,united states,walk up,7219,2200,44.821543,-121.763878,portland,1915
Olancha Peak,north america,united states,scramble,12123,3695,36.26522,-118.11823,"los angles, california",
Old Desolate,north america,united states,nan,7137,2175,46.925055,-121.750059,seattle-tacoma,
